name,link,origin,birth,origin_point,birth_point,spotify_id,genre
Rosie Thomas,/wiki/Rosie_Thomas_(singer-songwriter),"Livonia, Michigan, U.S.",[1],"{""coordinates"": [-83.373299, 42.397179], ""type"": ""Point""}","{""coordinates"": [87.18018, 27.23006], ""type"": ""Point""}",5Tw6OSRLoU7IHTO8kHGRQr,folk
Artie Traum,/wiki/Artie_Traum,,"The Bronx, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.874979, 40.853551], ""type"": ""Point""}",3CNgYS17eLx1vdJZNvlCsC,folk
Two Nice Girls,/wiki/Two_Nice_Girls,"Austin, Texas",,"{""coordinates"": [-97.836521, 30.222346], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",10zCD3RJN1uaoHjGCTS15f,folk
Uncle Bonsai,/wiki/Uncle_Bonsai,"Seattle, Washington, U.S.",,"{""coordinates"": [-122.331537, 47.673455], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4CZFzWUxaBj4aDOeMW2mib,folk
Jay Ungar,/wiki/Jay_Ungar,,"The Bronx, New York City","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.874979, 40.853551], ""type"": ""Point""}",54jNT6jMGDoxMSBzUDEYSB,folk
Dave Van Ronk,/wiki/Dave_Van_Ronk,,Brooklyn,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.956582, 40.652256], ""type"": ""Point""}",6QmHysWvckkQR74oxmLmtz,folk
Townes Van Zandt,/wiki/Townes_Van_Zandt,,"Fort Worth, Texas","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-97.33181, 32.729442], ""type"": ""Point""}",3ZWab2LEVkNKiBPIClTwof,folk
Suzanne Vega,/wiki/Suzanne_Vega,"New York City, U.S.","Santa Monica, California","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [-118.479052, 34.021711], ""type"": ""Point""}",3X0tJzVYoWlfjLYI0Ridsw,folk
Eric Von Schmidt,/wiki/Eric_Von_Schmidt,,"Bridgeport, Connecticut","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.187333, 41.188221], ""type"": ""Point""}",739hmk6VVud7fbPNmYL7pa,folk
Loudon Wainwright III,/wiki/Loudon_Wainwright_III,"Bedford, New York, U.S.","Chapel Hill, North Carolina","{""coordinates"": [-73.649174, 41.240269], ""type"": ""Point""}","{""coordinates"": [-79.035496, 35.930208], ""type"": ""Point""}",3loACRmkzdtOMNJEaB6j8L,folk
Tom Waits,/wiki/Tom_Waits,,"Whittier, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-118.16576, 34.019023], ""type"": ""Point""}",7x83XhcMbOTl1UdYsPTuZM,folk
